provider,acronym,name,web_status,describe_score,define_score,define_bp_score,connection_score,flat_score,core_average,core_average_2dp,core_average_bp,core_average_bp_2dp,define_bp_source,weakest_metric,bp_categories,bp_language,submission_id,bp_version,bp_released,bp_url
bioportal,SSN,Semantic Sensor Network Ontology,scored,10.0,4.67,4.67,5.04,10.0,7.4275,7.43,7.4275,7.43,"same_as_strict (1.0 result, not re-checked)",Define,Other,OWL,2,"New modular version of the SSN ontology. 

This ontology was originally developed in 2009-2011 by the W3C Semantic Sensor Networks Incubator Group (SSN-XG). For more information on the group's activities see: http://www.w3.org/2005/Incubator/ssn/. The ontology was revised and modularized in 2015-2017 by the W3C/OGC Spatial Data on the Web Working Group, see: https://www.w3.org/2015/spatial/wiki/Semantic_Sensor_Network_Ontology. 

In particular, (a) the scope is extended to include actuation and sampling; (b) the core concepts and properties are factored out into the SOSA ontology. The SSN ontology imports SOSA and adds formal axiomatization consistent with the text definitions in SOSA, and adds classes and properties to accommodate the scope of the original SSN ontology. ",2017-04-17T00:00:00.000+00:00,https://bioportal.bioontology.org/ontologies/SSN
bioportal,SSO,Syndromic Surveillance Ontology,scored,9.89,0.0,0.0,7.57,8.0,6.365,6.36,6.365,6.36,"same_as_strict (1.0 result, not re-checked)",Define,Biomedical_Resources;Taxonomic_Classification,OWL,1,1,2009-09-18T00:00:00.000-07:00,https://bioportal.bioontology.org/ontologies/SSO
bioportal,SST,SATUSEHAT Thesis,scored,9.44,0.34,0.34,0.0,0.0,2.445,2.44,2.445,2.44,"same_as_strict (1.0 result, not re-checked)",Connection,Health,OWL,3,1,2024-12-31T00:00:00.000+00:00,https://bioportal.bioontology.org/ontologies/SST
bioportal,SSTIM,Sensory Stimulation Ontology,scored,9.99,6.71,6.71,2.47,10.0,7.2924999999999995,7.29,7.2924999999999995,7.29,"same_as_strict (1.0 result, not re-checked)",Connection,Biomedical_Resources;Experimental_Conditions;Health;Vocabularies,OWL,31,0.17.0,2026-04-12T00:00:00.000+00:00,https://bioportal.bioontology.org/ontologies/SSTIM
bioportal,STATO,Statistics Ontology,scored,10.0,6.5,6.5,5.25,10.0,7.9375,7.94,7.9375,7.94,"same_as_strict (1.0 result, not re-checked)",Connection,Biomedical_Resources;Experimental_Conditions,OWL,19,2026-04-20,2026-04-20T18:14:48.000-07:00,https://bioportal.bioontology.org/ontologies/STATO
bioportal,STMSO,symptomatic treatment of multiple sclerosis ontology,scored,9.57,0.93,0.93,2.69,10.0,5.797499999999999,5.8,5.797499999999999,5.8,"same_as_strict (1.0 result, not re-checked)",Define,All_Organisms,OWL,1,,2022-06-20T00:00:00.000+00:00,https://bioportal.bioontology.org/ontologies/STMSO
bioportal,STO-DRAFT,The Stroke Ontology,scored,9.61,0.13,0.13,0.0,10.0,4.9350000000000005,4.94,4.9350000000000005,4.94,"same_as_strict (1.0 result, not re-checked)",Connection,,OWL,1,2017-11-01,2018-08-07T00:00:00.000+00:00,https://bioportal.bioontology.org/ontologies/STO-DRAFT
bioportal,STRONG,Mental Stress Ontology,scored,9.95,0.0,0.0,0.25,10.0,5.05,5.05,5.05,5.05,"same_as_strict (1.0 result, not re-checked)",Define,Health;Human,OWL,2,,2025-07-31T00:00:00.000+00:00,https://bioportal.bioontology.org/ontologies/STRONG
bioportal,STY,Semantic Types Ontology,scored,10.0,0.0,0.0,0.0,10.0,5.0,5.0,5.0,5.0,"same_as_strict (1.0 result, not re-checked)",Define,,UMLS,26,2025AB,2025-11-03T00:00:00.000+00:00,https://bioportal.bioontology.org/ontologies/STY
bioportal,STY1,STY1,scored,9.92,0.0,0.0,0.0,10.0,4.98,4.98,4.98,4.98,"same_as_strict (1.0 result, not re-checked)",Define,,SKOS,4,,2025-08-14T00:00:00.000+00:00,https://bioportal.bioontology.org/ontologies/STY1
