id,ts,run_id,phase,acronym,level,message
68,2026-09-23T21:05:49+00:00,20260923-150455-9a9da2,evaluate,,INFO,"worker ready: {""type"": ""ready"", ""pid"": 40096, ""device"": ""cuda"", ""batch_size"": 128, ""model_load_seconds"": 5.78, ""torch"": ""2.12.0.dev20260330+cu128"", ""cuda_available"": true, ""gpu_name"": ""NVIDIA GeForce RTX 5090"", ""python"": ""3.11.15"", ""platform"": ""Windows-10-10.0.26200-SP0"", ""python_hash_seed"": ""0""}"
69,2026-09-23T21:05:49+00:00,20260923-150455-9a9da2,evaluate,FASTO,WARNING,parse_failed at stage parse: unsupported_format:empty
70,2026-09-23T21:05:49+00:00,20260923-150455-9a9da2,evaluate,DMTO,WARNING,parse_failed at stage parse: unsupported_format:empty
71,2026-09-23T21:05:51+00:00,20260923-150455-9a9da2,evaluate,VODANETHIOPIA_OR,WARNING,parse_failed at stage parse: not_an_ontology:office_document
72,2026-09-23T21:05:52+00:00,20260923-150455-9a9da2,evaluate,YUNPING,WARNING,"parse_failed at stage parse: unsupported format (tried xml, auto, turtle, n3, nt, trig, trix, owlready2:rdfxml). Last error: RDF/XML parsing error in file C:\owl4_run\downloads\YUNPING\1\YUNPING_1_rdf.xrdf, line 137, column 102."
73,2026-09-23T21:05:53+00:00,20260923-150455-9a9da2,evaluate,PEO_ONTOLOGY,WARNING,"parse_failed at stage parse: unsupported format (tried xml, auto, turtle, n3, nt, trig, trix, owlready2:rdfxml). Last error: RDF/XML parsing error in file C:\owl4_run\downloads\PEO_ONTOLOGY\3\PEO_ONTOLOGY_3_rdf.xrdf, line 1281, column 127."
74,2026-09-23T21:05:54+00:00,20260923-150455-9a9da2,evaluate,DRMO,WARNING,"parse_failed at stage parse: unsupported format (tried xml, auto, turtle, n3, nt, trig, trix, owlready2:rdfxml). Last error: RDF/XML parsing error in file C:\owl4_run\downloads\DRMO\1\DRMO_1_rdf.xrdf, line 113, column 1938."
75,2026-09-23T21:05:54+00:00,20260923-150455-9a9da2,evaluate,SIMON,WARNING,"parse_failed at stage parse: unsupported format (tried xml, auto, turtle, n3, nt, trig, trix, owlready2:rdfxml). Last error: RDF/XML parsing error in file C:\owl4_run\downloads\SIMON\1\SIMON_1_rdf.xrdf, line 27, column 214."
76,2026-09-23T21:05:55+00:00,20260923-150455-9a9da2,evaluate,SOIL-PROF,WARNING,"parse_failed at stage parse: unsupported format (tried xml, auto, turtle, n3, nt, trig, trix, owlready2:rdfxml). Last error: RDF/XML parsing error in file C:\owl4_run\downloads\SOIL-PROF\3\SOIL-PROF_3_rdf.xrdf, line 5255, column 235."
77,2026-09-23T21:05:55+00:00,20260923-150455-9a9da2,evaluate,PPLC,WARNING,"parse_failed at stage parse: unsupported format (tried owlready2:owlxml). Last error: OWL/XML parsing error in file C:\owl4_run\downloads\PPLC\1\PPLC_1_original.owl, line 7, column 56."
78,2026-09-23T21:05:55+00:00,20260923-150455-9a9da2,evaluate,BPFORMS,WARNING,parse_failed at stage parse: unsupported_format:obo
79,2026-09-23T21:05:57+00:00,20260923-150455-9a9da2,evaluate,HIV,WARNING,parse_failed at stage parse: unsupported_format:obo
80,2026-09-23T21:06:02+00:00,20260923-150455-9a9da2,evaluate,CS,WARNING,"parse_failed at stage parse: unsupported format (tried owlready2:owlxml). Last error: OWL/XML parsing error in file C:\owl4_run\downloads\CS\1\CS_1_original.owl, line 15, column 76."
81,2026-09-23T21:06:02+00:00,20260923-150455-9a9da2,evaluate,GAZ,WARNING,parse_failed at stage parse: unsupported_format:obo
82,2026-09-23T21:06:02+00:00,20260923-150455-9a9da2,evaluate,CCO,WARNING,parse_failed at stage parse: unsupported_format:obo
83,2026-09-23T21:06:02+00:00,20260923-150455-9a9da2,evaluate,CHEBI,WARNING,parse_failed at stage parse: unsupported_format:obo
84,2026-09-23T21:06:03+00:00,20260923-150455-9a9da2,evaluate,,INFO,"evaluate phase finished: {'parse_failed': 15, 'done': 9}; worker restarts 0"
85,2026-09-23T21:06:03+00:00,20260923-150455-9a9da2,evaluate,,INFO,"requeued 1 evaluations with status in ('parse_failed', 'done', 'error', 'crashed', 'gave_up')"
86,2026-09-23T21:06:10+00:00,20260923-150455-9a9da2,evaluate,,INFO,"worker ready: {""type"": ""ready"", ""pid"": 40184, ""device"": ""cuda"", ""batch_size"": 128, ""model_load_seconds"": 5.36, ""torch"": ""2.12.0.dev20260330+cu128"", ""cuda_available"": true, ""gpu_name"": ""NVIDIA GeForce RTX 5090"", ""python"": ""3.11.15"", ""platform"": ""Windows-10-10.0.26200-SP0"", ""python_hash_seed"": ""0""}"
87,2026-09-23T21:06:10+00:00,20260923-150455-9a9da2,evaluate,BMS-LM,WARNING,parse_failed at stage parse: unsupported_format:empty
88,2026-09-23T21:06:10+00:00,20260923-150455-9a9da2,evaluate,,INFO,evaluate phase finished: {'parse_failed': 1}; worker restarts 0
89,2026-09-23T21:06:13+00:00,20260923-150455-9a9da2,evaluate,,INFO,"requeued 1 evaluations with status in ('parse_failed', 'done', 'error', 'crashed', 'gave_up')"
90,2026-09-23T21:06:20+00:00,20260923-150455-9a9da2,evaluate,,INFO,"worker ready: {""type"": ""ready"", ""pid"": 3172, ""device"": ""cuda"", ""batch_size"": 128, ""model_load_seconds"": 5.4, ""torch"": ""2.12.0.dev20260330+cu128"", ""cuda_available"": true, ""gpu_name"": ""NVIDIA GeForce RTX 5090"", ""python"": ""3.11.15"", ""platform"": ""Windows-10-10.0.26200-SP0"", ""python_hash_seed"": ""0""}"
91,2026-09-23T21:06:20+00:00,20260923-150455-9a9da2,evaluate,CATALOG-THEMES,WARNING,"parse_failed at stage parse: unsupported format (tried turtle, auto, xml, n3, nt, trig, trix). Last error: file:///C:/owl4_run/downloads/CATALOG-THEMES/3/CATALOG-THEMES_3_original-submission.ttl:1:0: not well-formed (invalid token)"
92,2026-09-23T21:06:21+00:00,20260923-150455-9a9da2,evaluate,,INFO,evaluate phase finished: {'parse_failed': 1}; worker restarts 0
93,2026-09-23T21:06:43+00:00,20260923-150858-213570,download,PR,WARNING,"failed: stream failed: ChunkedEncodingError: ('Connection broken: IncompleteRead(1074913280 bytes read, 204501390 more expected)', IncompleteRead(1074913280 bytes read, 204501390 more expected))"
94,2026-09-23T21:06:44+00:00,20260923-150858-213570,download,FLUXO,WARNING,html_response: server returned HTML
95,2026-09-23T21:06:44+00:00,20260923-150858-213570,download,HCMO,WARNING,html_response: server returned HTML
96,2026-09-23T21:06:45+00:00,20260923-150858-213570,download,HSCLO38,WARNING,"not_found: {""errors"":[""No source file is available for this submission""],""status"":404}"
97,2026-09-23T21:06:45+00:00,20260923-150858-213570,download,,INFO,"download phase finished: {'failed': 1, 'html_response': 2, 'not_found': 1}"
98,2026-09-23T21:06:45+00:00,20260923-150858-213570,evaluate,,INFO,"requeued 24 evaluations with status in ('parse_failed', 'done', 'error', 'crashed', 'gave_up')"
