acronym,eval_status,eval_bytes,triple_count,entities,classes,individuals,bp_classes,sniffed_format,parse_format,eval_seconds,wall_seconds,parent_peak_rss_mb,gpu_peak_allocated_mb,define_device,define_defined,time_sniff,time_parse,time_identity,time_index,time_stats,time_describe,time_define,time_connection,time_flat,time_entities_table,time_total,time_write_outputs,time_define_bp,define_seconds_encode_labels,define_seconds_encode_definitions,download_seconds
ABA-AMB,done,817786.0,7095.0,914.0,914.0,0.0,913.0,xml,xml,0.553,0.553,0.0,451.6,cuda,1.0,0.0,0.245,0.001,0.018,0.001,0.002,0.016,0.001,0.003,0.003,0.426,0.013,,0.007,0.007,0.388
ABD,done,888412.0,10419.0,1446.0,1446.0,0.0,1445.0,xml,xml,0.632,0.632,0.0,451.4,cuda,2.0,0.0,0.29,0.001,0.028,0.001,0.003,0.019,0.005,0.01,0.005,0.503,0.016,,0.007,0.008,0.391
ACESO,done,188270.0,1670.0,297.0,297.0,0.0,296.0,xml,xml,0.3,0.3,0.0,450.7,,0.0,0.0,0.051,0.001,0.004,0.0,0.001,0.0,0.001,0.002,0.001,0.188,0.006,,,,0.191
ACGT-MO,done,1417003.0,13381.0,1815.0,1770.0,45.0,1770.0,xml,xml,1.109,1.109,1679.5,982.1,cuda,340.0,0.0,0.445,0.001,0.171,0.002,0.003,0.162,0.005,0.008,0.005,0.963,0.023,,0.034,0.121,0.563
ACVD_ONTOLOGY,done,2026065.0,21112.0,1720.0,1720.0,0.0,1719.0,xml,xml,1.181,1.181,1694.3,450.7,,0.0,0.0,0.788,0.002,0.062,0.002,0.006,0.003,0.001,0.006,0.006,1.043,0.017,,,,0.945
AD-CDO,done,189423.0,1427.0,292.0,292.0,0.0,291.0,xml,xml,0.3,0.3,0.0,450.7,,0.0,0.0,0.049,0.001,0.004,0.0,0.001,0.0,0.0,0.001,0.001,0.182,0.006,,,,0.211
AD-DROP,done,133543.0,997.0,88.0,26.0,62.0,25.0,xml,xml,0.316,0.316,0.0,469.0,cuda,5.0,0.0,0.036,0.001,0.003,0.0,0.0,0.018,0.0,0.0,0.001,0.189,0.006,,0.009,0.008,0.552
ADALAB,done,602109.0,5071.0,463.0,461.0,2.0,460.0,xml,xml,0.681,0.681,0.0,983.1,cuda,402.0,0.0,0.171,0.001,0.014,0.001,0.002,0.211,0.001,0.002,0.002,0.542,0.013,,0.059,0.146,0.349
ADALAB-META,done,195703.0,1650.0,88.0,78.0,10.0,78.0,xml,xml,0.333,0.333,0.0,572.0,cuda,29.0,0.0,0.055,0.001,0.004,0.0,0.0,0.034,0.0,0.001,0.001,0.221,0.006,,0.01,0.022,0.261
ADAR,done,9098624.0,62672.0,1401.0,791.0,610.0,791.0,xml,xml,3.327,3.327,1802.5,981.7,cuda,210.0,0.0,2.343,0.006,0.371,0.002,0.004,0.149,0.014,0.004,0.005,3.162,0.019,,0.03,0.113,3.08
ADCAD,done,44923.0,409.0,68.0,68.0,0.0,67.0,xml,xml,0.272,0.272,0.0,450.7,,0.0,0.0,0.015,0.0,0.001,0.0,0.0,0.0,0.0,0.001,0.001,0.14,0.005,,,,0.191
ADHER_INTCARE_EN,done,428766.0,2424.0,265.0,265.0,0.0,264.0,xml,xml,0.49,0.49,0.0,981.6,cuda,159.0,0.0,0.079,0.001,0.006,0.0,0.001,0.141,0.001,0.002,0.001,0.362,0.01,,0.026,0.108,0.28
ADHER_INTCARE_SP,done,514322.0,2638.0,266.0,266.0,0.0,265.0,xml,xml,0.555,0.555,0.0,979.8,cuda,230.0,0.0,0.087,0.001,0.007,0.0,0.001,0.195,0.001,0.002,0.001,0.427,0.009,,0.033,0.153,0.301
ADICAP,done,5608244.0,63509.0,10073.0,9800.0,273.0,9800.0,xml,xml,3.421,3.421,1772.4,981.8,cuda,229.0,0.0,2.199,0.005,0.41,0.012,0.038,0.165,0.011,0.032,0.037,3.187,0.087,,0.03,0.114,1.957
ADMIN,done,93597.0,669.0,103.0,44.0,59.0,44.0,xml,xml,0.317,0.317,0.0,620.1,cuda,96.0,0.0,0.025,0.001,0.002,0.0,0.0,0.042,0.0,0.0,0.001,0.193,0.006,,0.011,0.029,0.335
ADMO,done,11214786.0,127673.0,10944.0,10944.0,0.0,10943.0,xml,xml,6.303,6.303,1860.9,473.8,cuda,31.0,0.001,4.564,0.008,0.692,0.013,0.028,0.036,0.084,0.118,0.042,6.058,0.096,,0.01,0.009,3.792
ADO,done,5670411.0,42936.0,1964.0,1964.0,0.0,1963.0,xml,xml,2.598,2.598,1758.7,1008.5,cuda,1170.0,0.0,1.466,0.0,0.125,0.003,0.015,0.58,0.003,0.009,0.008,2.424,0.034,,0.111,0.452,1.96
ADW,done,275395.0,2188.0,369.0,365.0,4.0,364.0,xml,xml,0.482,0.482,0.0,981.6,cuda,185.0,0.0,0.076,0.001,0.006,0.0,0.001,0.128,0.001,0.002,0.002,0.344,0.01,,0.022,0.103,0.197
AEO,done,546134.0,4807.0,431.0,431.0,0.0,430.0,xml,xml,0.57,0.57,0.0,937.8,cuda,235.0,0.0,0.167,0.0,0.013,0.001,0.002,0.119,0.001,0.002,0.002,0.441,0.01,,0.022,0.093,0.358
AERO,done,1018803.0,9820.0,524.0,497.0,27.0,497.0,xml,xml,0.81,0.81,0.0,982.0,cuda,306.0,0.0,0.294,0.001,0.027,0.001,0.002,0.167,0.003,0.004,0.002,0.655,0.013,,0.037,0.125,0.451
AFO,done,4859479.0,49396.0,3697.0,3641.0,56.0,3641.0,xml,xml,3.723,3.723,1752.2,991.9,cuda,3674.0,0.001,1.724,0.0,0.323,0.006,0.017,1.168,0.014,0.024,0.012,3.529,0.07,,0.301,0.827,1.772
AFPO,done,1521531.0,18170.0,493.0,474.0,19.0,473.0,xml,xml,1.141,1.141,1684.2,809.6,cuda,337.0,0.0,0.534,0.0,0.175,0.001,0.004,0.126,0.007,0.007,0.002,1.01,0.012,,0.03,0.092,0.622
AGRO,done,8168560.0,81505.0,4437.0,4163.0,274.0,4163.0,xml,xml,5.1,5.1,1804.7,989.6,cuda,2884.0,0.001,2.975,0.0,0.48,0.007,0.015,0.993,0.034,0.038,0.017,4.881,0.068,,0.266,0.69,2.78
AGROCYMAC,done,134289.0,959.0,160.0,14.0,146.0,13.0,xml,xml,0.285,0.285,0.0,450.7,,0.0,0.0,0.034,0.001,0.003,0.0,0.0,0.0,0.001,0.0,0.001,0.166,0.006,,,,0.267
AGROMOP,done,57941.0,316.0,67.0,10.0,57.0,9.0,xml,xml,0.253,0.253,0.0,450.7,,0.0,0.0,0.011,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.137,0.005,,,,0.204
AHOL,done,432807.0,4634.0,340.0,340.0,0.0,339.0,xml,xml,0.412,0.412,0.0,451.6,cuda,1.0,0.001,0.14,0.001,0.012,0.001,0.001,0.015,0.002,0.004,0.002,0.307,0.008,,0.007,0.007,0.238
AHSO,done,49589.0,519.0,39.0,39.0,0.0,38.0,xml,xml,0.258,0.258,0.0,450.7,,0.0,0.0,0.016,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.145,0.005,,,,0.237
AI,done,592763.0,5582.0,444.0,444.0,0.0,444.0,xml,xml,0.663,0.663,0.0,983.1,cuda,443.0,0.0,0.161,0.0,0.014,0.001,0.002,0.218,0.002,0.002,0.002,0.535,0.013,,0.042,0.168,0.298
AI-RHEUM,done,408735.0,5968.0,809.0,809.0,0.0,808.0,turtle,turtle,0.584,0.584,0.0,981.6,cuda,160.0,0.001,0.157,0.001,0.016,0.001,0.001,0.13,0.002,0.004,0.003,0.452,0.013,,0.028,0.096,0.628
AIDENTIFYAGE,done,2532007.0,23963.0,1669.0,1446.0,223.0,1445.0,xml,xml,1.333,1.333,1698.9,981.7,cuda,191.0,0.0,0.786,0.002,0.066,0.002,0.004,0.125,0.009,0.012,0.006,1.187,0.019,,0.022,0.098,0.953
AIO,done,595982.0,5603.0,443.0,443.0,0.0,443.0,xml,xml,0.665,0.665,0.0,983.1,cuda,442.0,0.0,0.163,0.0,0.015,0.001,0.002,0.218,0.002,0.002,0.002,0.538,0.013,,0.042,0.169,0.31
AIRCHSITETEST,done,48447.0,463.0,78.0,77.0,1.0,2.0,xml,xml,0.269,0.269,0.0,451.2,cuda,1.0,0.0,0.016,0.001,0.001,0.0,0.0,0.014,0.0,0.0,0.001,0.159,0.006,,0.007,0.006,0.28
AISM,done,28607215.0,352921.0,7462.0,7444.0,18.0,7443.0,xml,xml,18.292,18.292,2226.3,1050.1,cuda,6906.0,0.001,11.322,0.0,2.325,0.014,0.053,2.623,0.148,0.158,0.032,17.897,0.131,,0.771,1.761,9.51
ALLERGIDOC,done,438512.0,3563.0,1172.0,1139.0,33.0,1138.0,xml,xml,0.397,0.397,0.0,450.7,,0.0,0.001,0.115,0.0,0.01,0.001,0.002,0.002,0.001,0.004,0.004,0.271,0.013,,,,0.287
ALLERGYDETECTOR,done,161451.0,1224.0,173.0,12.0,161.0,12.0,xml,xml,0.333,0.333,0.0,579.0,cuda,61.0,0.0,0.039,0.001,0.004,0.0,0.0,0.038,0.001,0.0,0.001,0.211,0.007,,0.012,0.024,0.27
ALTPROTON,done,518804.0,5745.0,355.0,279.0,76.0,278.0,xml,xml,0.522,0.522,0.0,904.0,cuda,109.0,0.0,0.153,0.0,0.015,0.001,0.001,0.082,0.001,0.002,0.002,0.393,0.009,,0.011,0.068,0.335
AMINO-ACID,done,142535.0,1374.0,47.0,47.0,0.0,46.0,xml,xml,0.301,0.301,0.0,450.7,,0.0,0.0,0.039,0.001,0.004,0.0,0.0,0.0,0.001,0.001,0.001,0.17,0.005,,,,0.135
AMPHX,done,817243.0,9437.0,404.0,404.0,0.0,403.0,xml,xml,0.585,0.585,0.0,478.5,cuda,35.0,0.0,0.276,0.0,0.024,0.0,0.002,0.02,0.005,0.006,0.002,0.474,0.008,,0.009,0.009,0.39
ANCO,done,17499.0,126.0,10.0,10.0,0.0,9.0,xml,xml,0.285,0.285,0.0,451.1,cuda,1.0,0.0,0.005,0.001,0.0,0.0,0.0,0.031,0.0,0.0,0.001,0.16,0.005,,0.015,0.015,0.206
AO,done,147884.0,1177.0,290.0,290.0,0.0,289.0,xml,xml,0.339,0.339,0.0,456.0,cuda,3.0,0.0,0.043,0.001,0.004,0.0,0.001,0.02,0.0,0.001,0.002,0.207,0.007,,0.009,0.01,0.181
APACOMPUTER,done,39672.0,230.0,115.0,115.0,0.0,114.0,xml,xml,0.268,0.268,0.0,450.7,,0.0,0.0,0.009,0.0,0.001,0.0,0.0,0.0,0.0,0.001,0.001,0.145,0.006,,,,0.173
APADISORDERS,done,284805.0,1646.0,823.0,823.0,0.0,822.0,xml,xml,0.317,0.317,0.0,450.7,,0.0,0.0,0.058,0.0,0.004,0.001,0.002,0.001,0.001,0.002,0.003,0.195,0.01,,,,0.211
APAEDUCLUSTER,done,178639.0,1020.0,510.0,510.0,0.0,509.0,xml,xml,0.3,0.3,0.0,450.7,,0.0,0.0,0.037,0.0,0.003,0.0,0.001,0.001,0.0,0.002,0.002,0.171,0.008,,,,0.153
APANEUROCLUSTER,done,169611.0,1004.0,502.0,502.0,0.0,501.0,xml,xml,0.298,0.298,0.0,450.7,,0.0,0.0,0.036,0.0,0.003,0.0,0.001,0.001,0.0,0.002,0.002,0.171,0.007,,,,0.145
APAOCUEMPLOY,done,163364.0,898.0,449.0,449.0,0.0,448.0,xml,xml,0.285,0.285,0.0,450.7,,0.0,0.0,0.032,0.0,0.003,0.0,0.001,0.001,0.0,0.002,0.002,0.165,0.007,,,,0.176
APASTATISTICAL,done,50802.0,282.0,141.0,141.0,0.0,140.0,xml,xml,0.254,0.254,0.0,450.7,,0.0,0.0,0.011,0.0,0.001,0.0,0.0,0.0,0.0,0.001,0.001,0.135,0.005,,,,0.137
APATANDT,done,75867.0,418.0,209.0,209.0,0.0,208.0,xml,xml,0.253,0.253,0.0,450.7,,0.0,0.0,0.016,0.0,0.001,0.0,0.001,0.0,0.0,0.001,0.001,0.14,0.006,,,,0.145
APATREATMENT,done,165081.0,962.0,481.0,481.0,0.0,480.0,xml,xml,0.284,0.284,0.0,450.7,,0.0,0.0,0.034,0.0,0.003,0.0,0.001,0.001,0.0,0.002,0.002,0.166,0.007,,,,0.197
APO,done,812588.0,7356.0,620.0,620.0,0.0,619.0,xml,xml,0.712,0.712,0.0,982.0,cuda,306.0,0.0,0.252,0.0,0.019,0.001,0.003,0.149,0.001,0.002,0.003,0.566,0.013,,0.036,0.108,0.456
APOLLO-SV,done,2874142.0,28535.0,1723.0,1701.0,22.0,1701.0,xml,xml,2.01,2.01,1718.4,984.2,cuda,1047.0,0.0,0.97,0.0,0.23,0.003,0.007,0.433,0.008,0.011,0.006,1.85,0.028,,0.097,0.321,1.114
ARCRC,done,134744.0,984.0,99.0,96.0,3.0,95.0,xml,xml,0.332,0.332,0.0,649.4,cuda,80.0,0.0,0.037,0.0,0.003,0.0,0.001,0.048,0.0,0.001,0.001,0.215,0.006,,0.011,0.035,0.263
ARO,done,13804648.0,163645.0,9052.0,9052.0,0.0,9051.0,xml,xml,10.677,10.677,1919.7,1056.4,cuda,9051.0,0.0,5.528,0.01,0.876,0.016,0.048,3.102,0.077,0.059,0.037,10.347,0.157,,0.926,2.07,4.648
ASDPTO,done,234318.0,1722.0,285.0,285.0,0.0,284.0,xml,xml,0.483,0.483,0.0,849.8,cuda,284.0,0.0,0.065,0.001,0.005,0.0,0.001,0.137,0.0,0.001,0.002,0.352,0.01,,0.033,0.1,0.159
ASPECT,done,152263.0,1629.0,146.0,146.0,0.0,2.0,xml,xml,0.441,0.441,0.0,981.5,cuda,137.0,0.0,0.053,0.001,0.004,0.0,0.001,0.13,0.0,0.0,0.001,0.319,0.007,,0.027,0.101,0.291
ASSAYNODE,done,36863.0,300.0,49.0,49.0,0.0,48.0,xml,xml,0.397,0.397,0.0,605.4,cuda,37.0,0.0,0.011,0.0,0.001,0.0,0.0,0.129,0.0,0.0,0.001,0.264,0.006,,0.025,0.103,0.098
ATC,done,8769002.0,77279.0,7030.0,7030.0,0.0,7024.0,xml,xml,4.579,4.579,1798.1,453.1,cuda,4.0,0.0,3.342,0.007,0.486,0.012,0.027,0.035,0.045,0.025,0.03,4.372,0.059,,0.008,0.009,2.994
ATO,done,7305048.0,73918.0,6136.0,6136.0,0.0,6135.0,xml,xml,3.879,3.879,1789.0,450.7,,0.0,0.001,2.822,0.005,0.443,0.007,0.027,0.009,0.033,0.041,0.022,3.701,0.042,,,,2.504
ATOL,done,6395778.0,56707.0,2353.0,2353.0,0.0,2352.0,xml,xml,2.901,2.901,1767.7,450.7,,0.0,0.0,2.295,0.005,0.172,0.004,0.012,0.003,0.002,0.008,0.008,2.753,0.019,,,,2.236
ATOM,done,126418.0,947.0,98.0,94.0,4.0,93.0,xml,xml,0.396,0.396,0.0,588.6,cuda,33.0,0.0,0.032,0.001,0.003,0.0,0.0,0.116,0.0,0.001,0.001,0.283,0.006,,0.022,0.092,0.147
AURA,done,176071554.0,1091651.0,28031.0,27397.0,634.0,27396.0,xml,xml,42.422,42.422,3482.8,450.7,,0.0,0.0,30.285,0.1,6.682,0.031,0.088,0.048,0.664,0.151,0.099,41.664,0.169,,,,57.584
AZDONTO,done,74246.0,635.0,28.0,28.0,0.0,27.0,xml,xml,0.286,0.286,0.0,451.8,cuda,2.0,0.0,0.021,0.001,0.002,0.0,0.0,0.017,0.0,0.001,0.001,0.164,0.005,,0.008,0.007,0.203
BAO,done,12924540.0,121254.0,7918.0,7918.0,0.0,7918.0,xml,xml,8.518,8.518,1861.7,1046.0,cuda,5507.0,0.0,4.539,0.0,0.657,0.012,0.046,2.424,0.016,0.039,0.031,8.235,0.125,,0.556,1.794,4.418
BAO-GPCR,done,979449.0,9689.0,904.0,904.0,0.0,904.0,xml,xml,1.054,1.054,1647.0,983.7,cuda,41.0,0.0,0.306,0.0,0.027,0.001,0.003,0.041,0.001,0.004,0.004,0.918,0.016,0.382,0.009,0.028,0.449
BBO,done,3177609.0,23135.0,2561.0,2192.0,369.0,2192.0,xml,xml,2.015,2.015,1724.2,987.5,cuda,2198.0,0.0,0.829,0.0,0.067,0.004,0.009,0.725,0.005,0.01,0.009,1.832,0.048,,0.185,0.514,1.156
BCGO,done,369697.0,3016.0,314.0,133.0,181.0,133.0,xml,xml,0.412,0.412,0.0,501.2,cuda,30.0,0.0,0.1,0.001,0.008,0.0,0.001,0.024,0.001,0.002,0.002,0.269,0.008,,0.011,0.012,0.204
BCI-O,done,958865.0,6944.0,188.0,182.0,6.0,182.0,xml,xml,0.635,0.635,0.0,981.6,cuda,155.0,0.0,0.213,0.001,0.019,0.001,0.001,0.121,0.002,0.002,0.001,0.511,0.009,,0.025,0.092,0.453
BCIO,done,2030019.0,18380.0,2524.0,2524.0,0.0,2524.0,xml,xml,1.872,1.872,1688.4,988.5,cuda,2513.0,0.0,0.678,0.0,0.051,0.003,0.008,0.773,0.003,0.01,0.009,1.709,0.05,,0.228,0.515,0.736
BCLION,done,14862.0,115.0,31.0,31.0,0.0,30.0,xml,xml,0.248,0.248,0.0,450.7,,0.0,0.0,0.004,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.129,0.005,,,,0.117
BCO,done,935709.0,7603.0,289.0,254.0,35.0,254.0,xml,xml,0.683,0.683,0.0,981.7,cuda,202.0,0.0,0.247,0.0,0.021,0.001,0.001,0.126,0.001,0.002,0.002,0.542,0.01,,0.024,0.098,0.418
BCON,done,34261.0,287.0,67.0,67.0,0.0,66.0,xml,xml,0.253,0.253,0.0,450.7,,0.0,0.0,0.009,0.001,0.001,0.0,0.0,0.0,0.0,0.001,0.001,0.135,0.006,,,,0.159
BCS7,done,25454.0,245.0,23.0,23.0,0.0,22.0,xml,xml,0.253,0.253,0.0,450.7,,0.0,0.0,0.008,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.133,0.005,,,,0.184
BCS8,done,983686.0,17192.0,32.0,32.0,0.0,31.0,xml,xml,0.791,0.791,0.0,450.7,,0.0,0.0,0.351,0.001,0.171,0.0,0.0,0.0,0.006,0.001,0.001,0.681,0.006,,,,0.411
BCSR-ONTO,done,161833.0,1545.0,148.0,34.0,114.0,34.0,xml,xml,0.333,0.333,0.0,468.6,cuda,8.0,0.0,0.049,0.001,0.004,0.0,0.0,0.019,0.001,0.0,0.001,0.201,0.006,,0.01,0.008,0.243
BCTEO,done,420244.0,3789.0,254.0,254.0,0.0,253.0,xml,xml,0.556,0.556,0.0,981.8,cuda,242.0,0.0,0.124,0.001,0.01,0.0,0.001,0.149,0.002,0.002,0.002,0.422,0.01,,0.028,0.117,0.258
BCTT,done,37494.0,333.0,110.0,110.0,0.0,110.0,xml,xml,0.254,0.254,0.0,450.7,,0.0,0.0,0.013,0.001,0.001,0.0,0.0,0.0,0.0,0.001,0.001,0.143,0.005,,,,0.168
BDO,done,3780616.0,45836.0,3668.0,3668.0,0.0,3668.0,xml,xml,2.362,2.362,1748.9,579.2,cuda,32.0,0.0,1.573,0.003,0.303,0.004,0.009,0.041,0.025,0.018,0.013,2.208,0.032,,0.009,0.025,1.347
BDPM,done,95150254.0,762910.0,41603.0,41330.0,273.0,41330.0,xml,xml,38.192,38.192,2825.8,981.8,cuda,238.0,0.001,28.418,0.054,4.791,0.063,0.392,0.335,0.13,0.299,0.201,37.369,0.34,,0.145,0.113,31.203
BE,done,984363.0,8937.0,443.0,443.0,0.0,442.0,xml,xml,0.618,0.618,0.0,450.7,,0.0,0.0,0.317,0.001,0.024,0.001,0.002,0.001,0.001,0.002,0.002,0.491,0.007,,,,0.425
BERO,done,962756318.0,11075906.0,392586.0,392307.0,279.0,392307.0,xml,xml,615.318,615.318,18126.2,1609.9,cuda,197976.0,0.0,361.553,0.0,76.967,0.796,3.606,108.705,5.71,4.127,2.461,603.791,4.688,,28.233,76.61,314.366
BERVO,done,3887596.0,34856.0,2368.0,2368.0,0.0,2367.0,xml,xml,3.328,3.328,1731.4,1028.5,cuda,2364.0,0.0,1.176,0.0,0.251,0.005,0.017,1.47,0.002,0.008,0.01,3.136,0.049,,0.275,1.148,1.356
BFLC,done,28135.0,336.0,35.0,35.0,0.0,261.0,xml,xml,0.27,0.27,0.0,490.6,cuda,28.0,0.0,0.011,0.0,0.001,0.0,0.0,0.023,0.0,0.0,0.001,0.158,0.006,,0.01,0.011,0.513
BFO,done,171007.0,1268.0,36.0,36.0,0.0,35.0,xml,xml,0.31,0.31,0.0,471.6,cuda,8.0,0.0,0.041,0.0,0.004,0.0,0.0,0.019,0.0,0.0,0.001,0.194,0.005,,0.009,0.008,0.256
BFPO,done,100401.0,991.0,74.0,74.0,0.0,74.0,xml,xml,0.316,0.316,0.0,549.6,cuda,73.0,0.0,0.032,0.001,0.003,0.0,0.0,0.03,0.0,0.001,0.001,0.192,0.006,,0.009,0.019,0.193
BHN,done,1230092.0,11814.0,2535.0,2535.0,0.0,2534.0,xml,xml,0.871,0.871,0.0,450.7,,0.0,0.0,0.399,0.001,0.157,0.002,0.006,0.003,0.002,0.007,0.007,0.726,0.023,,,,0.518
BHO,done,668150.0,6536.0,544.0,544.0,0.0,544.0,xml,xml,0.555,0.555,0.0,730.4,cuda,77.0,0.0,0.194,0.001,0.016,0.001,0.001,0.059,0.003,0.005,0.002,0.413,0.01,,0.012,0.044,0.387
BIBFRAME,done,423731.0,4606.0,217.0,217.0,0.0,206.0,xml,xml,0.491,0.491,0.0,713.0,cuda,214.0,0.0,0.137,0.0,0.011,0.001,0.001,0.075,0.0,0.001,0.001,0.358,0.009,,0.019,0.053,0.326
BIBLIOTEK-O,done,300343.0,2668.0,309.0,279.0,30.0,278.0,xml,xml,0.475,0.475,0.0,826.8,cuda,285.0,0.0,0.085,0.0,0.007,0.001,0.001,0.12,0.0,0.001,0.002,0.345,0.01,,0.029,0.087,0.199
BIFO,done,70695.0,470.0,79.0,79.0,0.0,78.0,xml,xml,0.304,0.304,0.0,549.8,cuda,49.0,0.0,0.017,0.001,0.001,0.0,0.0,0.03,0.0,0.001,0.001,0.172,0.006,,0.009,0.019,0.282
BIM,done,103503.0,725.0,159.0,125.0,34.0,125.0,xml,xml,0.395,0.395,0.0,561.4,cuda,47.0,0.0,0.026,0.001,0.002,0.0,0.0,0.103,0.0,0.001,0.001,0.261,0.007,,0.025,0.077,0.133
BIN,done,240208.0,1755.0,139.0,139.0,0.0,138.0,xml,xml,0.444,0.444,0.0,981.5,cuda,138.0,0.0,0.063,0.001,0.005,0.0,0.001,0.115,0.0,0.001,0.001,0.318,0.007,,0.021,0.091,0.195
BIODIVTHES,done,2281645.0,25425.0,920.0,836.0,84.0,4.0,xml,xml,1.536,1.536,1696.5,981.8,cuda,249.0,0.0,0.956,0.002,0.069,0.001,0.005,0.175,0.009,0.001,0.003,1.395,0.014,,0.027,0.142,0.905
BIOLINK,done,2378248.0,22953.0,706.0,706.0,0.0,706.0,xml,xml,1.457,1.457,1696.6,983.1,cuda,543.0,0.0,0.81,0.002,0.063,0.001,0.002,0.235,0.01,0.008,0.003,1.307,0.016,,0.053,0.174,0.997
BIOMO,done,1708563.0,17588.0,1597.0,1597.0,0.0,1596.0,xml,xml,1.495,1.495,1688.6,879.7,cuda,1420.0,0.0,0.682,0.0,0.05,0.002,0.005,0.411,0.004,0.008,0.006,1.332,0.031,,0.112,0.284,0.72
BIOMODELS,done,307484574.0,2986721.0,408468.0,187520.0,220948.0,187520.0,xml,xml,209.709,209.709,6260.4,1247.9,cuda,72993.0,0.0,108.659,0.166,20.433,0.746,1.339,27.003,2.071,2.612,2.204,203.965,3.811,27.436,10.541,14.92,100.508
BIOPAX,done,230162.0,1466.0,69.0,69.0,0.0,69.0,xml,xml,0.366,0.366,0.0,735.1,cuda,68.0,0.0,0.049,0.001,0.004,0.0,0.0,0.064,0.0,0.001,0.001,0.251,0.006,,0.01,0.051,0.232
BIOTOP,done,584221.0,6108.0,390.0,390.0,0.0,390.0,xml,xml,0.554,0.554,0.0,864.3,cuda,99.0,0.0,0.176,0.001,0.017,0.0,0.001,0.086,0.002,0.003,0.002,0.425,0.01,,0.012,0.071,0.312
BIPOM,done,610845.0,5319.0,148.0,143.0,5.0,142.0,xml,xml,0.507,0.507,0.0,676.6,cuda,54.0,0.0,0.177,0.001,0.014,0.0,0.001,0.046,0.001,0.001,0.001,0.38,0.007,,0.009,0.035,3.319
BIPON,done,3905433.0,45111.0,2514.0,1747.0,767.0,1746.0,xml,xml,2.31,2.31,1740.9,982.0,cuda,294.0,0.0,1.557,0.003,0.137,0.003,0.007,0.186,0.017,0.021,0.009,2.157,0.027,,0.042,0.136,1.398
BIRNLEX,done,5274267.0,43986.0,3581.0,3581.0,0.0,3580.0,xml,xml,2.455,2.455,1747.2,450.7,,0.0,0.0,1.868,0.004,0.136,0.004,0.028,0.005,0.003,0.013,0.012,2.298,0.026,,,,1.835
BIRTHONTO,done,6633266.0,68381.0,678.0,88.0,590.0,87.0,xml,xml,3.55,3.55,1768.0,590.9,cuda,37.0,0.0,2.543,0.005,0.382,0.001,0.009,0.04,0.06,0.001,0.003,3.379,0.013,,0.01,0.027,2.323
BKO,done,728695.0,7310.0,705.0,670.0,35.0,669.0,xml,xml,0.791,0.791,0.0,867.5,cuda,668.0,0.0,0.234,0.001,0.021,0.001,0.003,0.249,0.001,0.003,0.003,0.665,0.016,,0.078,0.164,0.312
BMONT,done,1271915.0,12697.0,633.0,633.0,0.0,633.0,xml,xml,1.122,1.122,1678.2,983.1,cuda,580.0,0.0,0.371,0.0,0.156,0.001,0.004,0.283,0.003,0.003,0.003,0.973,0.017,,0.063,0.212,0.543
BMS-LM,parse_failed,0.0,,,,,154.0,,,0.002,,,,,,,,,,,,,,,,,,,,,0.122
BMT,done,340863.0,3439.0,253.0,253.0,0.0,253.0,xml,xml,0.508,0.508,0.0,904.4,cuda,247.0,0.0,0.104,0.001,0.009,0.0,0.001,0.118,0.0,0.001,0.002,0.368,0.009,,0.025,0.09,0.301
BNO,done,58611.0,425.0,101.0,101.0,0.0,100.0,xml,xml,0.302,0.302,0.0,453.5,cuda,3.0,0.0,0.016,0.001,0.001,0.0,0.0,0.019,0.0,0.001,0.001,0.173,0.006,,0.009,0.009,0.153
BOF,done,468020.0,3489.0,477.0,190.0,287.0,189.0,xml,xml,0.38,0.38,0.0,450.7,,0.0,0.0,0.119,0.001,0.009,0.0,0.001,0.001,0.001,0.001,0.002,0.265,0.008,,,,0.245
BP,done,201428.0,1249.0,69.0,69.0,0.0,69.0,xml,xml,0.359,0.359,0.0,732.1,cuda,67.0,0.0,0.041,0.001,0.004,0.0,0.0,0.06,0.0,0.001,0.001,0.235,0.006,,0.01,0.047,0.229
BP-METADATA,done,156579.0,1214.0,123.0,102.0,21.0,102.0,xml,xml,0.316,0.316,0.0,456.6,cuda,13.0,0.0,0.043,0.001,0.004,0.0,0.0,0.02,0.0,0.001,0.001,0.194,0.006,,0.01,0.009,0.175
BPFORMS,parse_failed,1603954.0,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,1.083
BPT,done,30627431.0,249029.0,3876.0,3876.0,0.0,3875.0,xml,xml,12.069,12.069,2065.2,450.7,,0.0,0.0,9.478,0.021,1.279,0.017,0.022,0.006,0.067,0.025,0.015,11.823,0.033,,,,10.156
BRAIN-COF,done,133032.0,994.0,126.0,126.0,0.0,125.0,xml,xml,0.358,0.358,0.0,778.5,cuda,123.0,0.0,0.028,0.0,0.003,0.0,0.0,0.074,0.0,0.001,0.001,0.234,0.007,,0.014,0.058,0.292
