acronym,eval_status,eval_bytes,triple_count,entities,classes,individuals,bp_classes,sniffed_format,parse_format,eval_seconds,wall_seconds,parent_peak_rss_mb,gpu_peak_allocated_mb,define_device,define_defined,time_sniff,time_parse,time_identity,time_index,time_stats,time_describe,time_define,time_connection,time_flat,time_entities_table,time_total,time_write_outputs,time_define_bp,define_seconds_encode_labels,define_seconds_encode_definitions,download_seconds
VEMO,done,708343.0,5840.0,203.0,156.0,47.0,136.0,xml,xml,0.569,0.569,0.0,978.5,cuda,127.0,0.0,0.179,0.0,0.016,0.001,0.001,0.105,0.001,0.001,0.001,0.447,0.008,,0.016,0.086,0.347
VEO,done,871597.0,7984.0,749.0,730.0,19.0,730.0,xml,xml,0.822,0.822,0.0,983.1,cuda,600.0,0.0,0.247,0.001,0.022,0.001,0.002,0.254,0.002,0.005,0.003,0.687,0.018,,0.059,0.187,0.378
VFB_DRIVERS,done,12925223.0,147064.0,21227.0,21227.0,0.0,21226.0,xml,xml,7.541,7.541,1900.7,496.4,cuda,17.0,0.0,5.183,0.01,1.05,0.026,0.074,0.088,0.052,0.098,0.088,7.219,0.14,,0.02,0.037,4.584
VHOG,done,1966195.0,18509.0,1186.0,1186.0,0.0,1185.0,xml,xml,1.344,1.344,1687.5,957.1,cuda,548.0,0.0,0.734,0.002,0.051,0.001,0.006,0.221,0.006,0.007,0.005,1.194,0.019,,0.055,0.159,0.913
VICO,done,1661575.0,16404.0,801.0,711.0,90.0,710.0,xml,xml,1.22,1.22,1683.6,983.1,cuda,490.0,0.0,0.507,0.002,0.171,0.001,0.003,0.216,0.008,0.007,0.003,1.071,0.016,,0.05,0.159,0.632
VIDO,done,788004.0,7668.0,432.0,432.0,0.0,432.0,xml,xml,0.712,0.712,0.0,983.1,cuda,403.0,0.0,0.232,0.0,0.02,0.001,0.002,0.183,0.002,0.004,0.002,0.586,0.013,,0.041,0.136,0.392
VIMM,done,226871.0,1882.0,261.0,261.0,0.0,260.0,xml,xml,0.332,0.332,0.0,450.7,,0.0,0.0,0.068,0.001,0.005,0.0,0.001,0.0,0.0,0.001,0.001,0.21,0.006,,,,0.172
VIO,done,320315.0,2543.0,81.0,81.0,0.0,80.0,xml,xml,0.412,0.412,0.0,735.1,cuda,68.0,0.001,0.078,0.001,0.007,0.0,0.001,0.063,0.001,0.001,0.001,0.279,0.007,,0.011,0.05,0.215
VIVO,done,764282.0,7044.0,418.0,418.0,0.0,418.0,xml,xml,0.846,0.846,0.0,982.0,cuda,317.0,0.0,0.228,0.001,0.021,0.001,0.001,0.148,0.002,0.003,0.002,0.695,0.013,0.144,0.029,0.114,0.377
VIVO-ISF,done,780516.0,7227.0,428.0,414.0,14.0,414.0,xml,xml,0.697,0.697,0.0,982.0,cuda,321.0,0.0,0.228,0.001,0.02,0.001,0.001,0.16,0.001,0.003,0.002,0.556,0.012,,0.029,0.127,0.341
VO,done,48294766.0,593179.0,15402.0,14812.0,590.0,14812.0,xml,xml,28.378,28.378,2506.5,1043.2,cuda,4563.0,0.0,18.848,0.0,3.683,0.024,0.1,2.281,0.501,0.452,0.072,27.848,0.165,,0.626,1.568,15.995
VODANA-GENERAL,done,139648.0,1320.0,168.0,167.0,1.0,2.0,xml,xml,0.365,0.365,0.0,746.5,cuda,78.0,0.0,0.044,0.001,0.004,0.0,0.001,0.069,0.0,0.0,0.001,0.248,0.007,,0.013,0.053,0.205
VODANA-MI,done,60844.0,536.0,73.0,72.0,1.0,2.0,xml,xml,0.316,0.316,0.0,561.7,cuda,70.0,0.0,0.018,0.001,0.001,0.0,0.0,0.031,0.0,0.0,0.001,0.178,0.006,,0.01,0.019,0.182
VODANA-MIGRANTS,done,248655.0,2251.0,253.0,252.0,1.0,2.0,xml,xml,0.475,0.475,0.0,920.5,cuda,243.0,0.0,0.072,0.001,0.006,0.0,0.001,0.121,0.0,0.0,0.001,0.333,0.01,,0.027,0.091,0.236
VODANA-MPA,done,145824.0,1398.0,189.0,188.0,1.0,2.0,xml,xml,0.411,0.411,0.0,915.6,cuda,185.0,0.0,0.046,0.001,0.004,0.0,0.001,0.113,0.0,0.0,0.001,0.293,0.008,,0.024,0.086,0.287
VODANACOVID,done,48167.0,425.0,57.0,56.0,1.0,2.0,xml,xml,0.285,0.285,0.0,495.0,cuda,50.0,0.0,0.014,0.001,0.001,0.0,0.0,0.024,0.0,0.0,0.001,0.164,0.006,,0.011,0.01,0.21
VODANADISEASES,done,396122.0,3210.0,519.0,518.0,1.0,2.0,xml,xml,0.398,0.398,0.0,467.9,cuda,18.0,0.0,0.108,0.001,0.008,0.001,0.001,0.02,0.0,0.0,0.002,0.271,0.009,,0.01,0.008,0.277
VODANAKENYA,done,33404.0,297.0,31.0,30.0,1.0,2.0,xml,xml,0.348,0.348,0.0,472.6,cuda,28.0,0.0,0.011,0.001,0.001,0.0,0.0,0.092,0.0,0.0,0.001,0.228,0.006,,0.04,0.05,0.142
VODANAMFLCODE,done,57246.0,609.0,100.0,99.0,1.0,2.0,xml,xml,0.286,0.286,0.0,451.3,cuda,1.0,0.0,0.02,0.001,0.002,0.0,0.0,0.015,0.0,0.0,0.001,0.164,0.006,,0.007,0.007,0.229
VODANANIGERIA,done,52231.0,469.0,56.0,55.0,1.0,2.0,xml,xml,0.317,0.317,0.0,469.7,cuda,22.0,0.0,0.015,0.001,0.001,0.0,0.0,0.05,0.0,0.0,0.001,0.192,0.006,,0.025,0.024,0.197
VODANAUGANDA,done,37890.0,345.0,40.0,39.0,1.0,2.0,xml,xml,0.285,0.285,0.0,480.7,cuda,37.0,0.0,0.012,0.001,0.001,0.0,0.0,0.02,0.0,0.0,0.001,0.158,0.006,,0.01,0.009,0.195
VODANETHIOPIA_OR,parse_failed,17813.0,,,,,,,,0.016,,,,,,,,,,,,,,,,,,,,,0.534
